id,name,start_point,size,plane_id,include_points
1,Basic Latin,0,128,0,1
2,Latin-1 Supplement,128,128,0,0
3,Latin Extended-A,256,128,0,0
4,Latin Extended-B,384,208,0,0
5,IPA Extensions,592,96,0,0
6,Spacing Modifier Letters,688,80,0,0
7,Combining Diacritical Marks,768,112,0,0
8,Greek and Coptic,880,144,0,1
9,Cyrillic,1024,256,0,1
10,Cyrillic Supplement,1280,48,0,0
11,Armenian,1328,96,0,1
12,Hebrew,1424,112,0,1
13,Arabic,1536,256,0,1
14,Syriac,1792,80,0,1
15,Arabic Supplement,1872,48,0,1
16,Thaana,1920,64,0,1
17,NKo,1984,64,0,1
18,Samaritan,2048,64,0,1
19,Mandaic,2112,32,0,1
20,Syriac Supplement,2144,16,0,1
21,Arabic Extended-B,2160,48,0,1
22,Arabic Extended-A,2208,96,0,1
23,Devanagari,2304,128,0,1
24,Bengali,2432,128,0,1
25,Gurmukhi,2560,128,0,1
26,Gujarati,2688,128,0,1
27,Oriya,2816,128,0,1
28,Tamil,2944,128,0,1
29,Telugu,3072,128,0,1
30,Kannada,3200,128,0,1
31,Malayalam,3328,128,0,1
32,Sinhala,3456,128,0,1
33,Thai,3584,128,0,1
34,Lao,3712,128,0,1
35,Tibetan,3840,256,0,1
36,Myanmar,4096,160,0,1
37,Georgian,4256,96,0,1
38,Hangul Jamo,4352,256,0,1
39,Ethiopic,4608,384,0,1
40,Ethiopic Supplement,4992,32,0,1
41,Cherokee,5024,96,0,1
42,Unified Canadian Aboriginal Syllabics,5120,640,0,1
43,Ogham,5760,32,0,1
44,Runic,5792,96,0,1
45,Tagalog,5888,32,0,1
46,Hanunoo,5920,32,0,1
47,Buhid,5952,32,0,1
48,Tagbanwa,5984,32,0,1
49,Khmer,6016,128,0,1
50,Mongolian,6144,176,0,1
51,Unified Canadian Aboriginal Syllabics Extended,6320,80,0,1
52,Limbu,6400,80,0,1
53,Tai Le,6480,48,0,1
54,New Tai Lue,6528,96,0,1
55,Khmer Symbols,6624,32,0,0
56,Buginese,6656,32,0,1
57,Tai Tham,6688,144,0,1
58,Combining Diacritical Marks Extended,6832,80,0,1
59,Balinese,6912,128,0,1
60,Sundanese,7040,64,0,1
61,Batak,7104,64,0,1
62,Lepcha,7168,80,0,1
63,Ol Chiki,7248,48,0,1
64,Cyrillic Extended-C,7296,16,0,0
65,Georgian Extended,7312,48,0,0
66,Sundanese Supplement,7360,16,0,0
67,Vedic Extensions,7376,48,0,0
68,Phonetic Extensions,7424,128,0,0
69,Phonetic Extensions Supplement,7552,64,0,0
70,Combining Diacritical Marks Supplement,7616,64,0,0
71,Latin Extended Additional,7680,256,0,0
72,Greek Extended,7936,256,0,0
73,General Punctuation,8192,112,0,0
74,Superscripts and Subscripts,8304,48,0,0
75,Currency Symbols,8352,48,0,0
76,Combining Diacritical Marks for Symbols,8400,48,0,0
77,Letterlike Symbols,8448,80,0,0
78,Number Forms,8528,64,0,0
79,Arrows,8592,112,0,0
80,Mathematical Operators,8704,256,0,0
81,Miscellaneous Technical,8960,256,0,0
82,Control Pictures,9216,64,0,0
83,Optical Character Recognition,9280,32,0,0
84,Enclosed Alphanumerics,9312,160,0,0
85,Box Drawing,9472,128,0,0
86,Block Elements,9600,32,0,0
87,Geometric Shapes,9632,96,0,0
88,Miscellaneous Symbols,9728,256,0,0
89,Dingbats,9984,192,0,0
90,Miscellaneous Mathematical Symbols-A,10176,48,0,0
91,Supplemental Arrows-A,10224,16,0,0
92,Braille Patterns,10240,256,0,0
93,Supplemental Arrows-B,10496,128,0,0
94,Miscellaneous Mathematical Symbols-B,10624,128,0,0
95,Supplemental Mathematical Operators,10752,256,0,0
96,Miscellaneous Symbols and Arrows,11008,256,0,0
97,Glagolitic,11264,96,0,1
98,Latin Extended-C,11360,32,0,0
99,Coptic,11392,128,0,1
100,Georgian Supplement,11520,48,0,0
101,Tifinagh,11568,80,0,1
102,Ethiopic Extended,11648,96,0,0
103,Cyrillic Extended-A,11744,32,0,0
104,Supplemental Punctuation,11776,128,0,0
105,CJK Radicals Supplement,11904,128,0,0
106,Kangxi Radicals,12032,224,0,0
107,Ideographic Description Characters,12272,16,0,0
108,CJK Symbols and Punctuation,12288,64,0,0
109,Hiragana,12352,96,0,0
110,Katakana,12448,96,0,0
111,Bopomofo,12544,48,0,0
112,Hangul Compatibility Jamo,12592,96,0,0
113,Kanbun,12688,16,0,0
114,Bopomofo Extended,12704,32,0,0
115,CJK Strokes,12736,48,0,0
116,Katakana Phonetic Extensions,12784,16,0,0
117,Enclosed CJK Letters and Months,12800,256,0,0
118,CJK Compatibility,13056,256,0,0
119,CJK Unified Ideographs Extension A,13312,6592,0,0
120,Yijing Hexagram Symbols,19904,64,0,0
121,CJK Unified Ideographs,19968,20992,0,0
122,Yi Syllables,40960,1168,0,0
123,Yi Radicals,42128,64,0,0
124,Lisu,42192,48,0,0
125,Vai,42240,320,0,0
126,Cyrillic Extended-B,42560,96,0,0
127,Bamum,42656,96,0,0
128,Modifier Tone Letters,42752,32,0,0
