id,group_name,name,group_abbreviation,abbreviation,include_points
1,Letter,uppercase,L,u,1
2,Letter,lowercase,L,l,1
3,Letter,titlecase,L,t,1
4,Letter,modifier,L,m,1
5,Letter,other,L,o,1
6,Mark,nonspacing,M,n,1
7,Mark,spacing combining,M,c,1
8,Mark,enclosing,M,e,0
9,Number,decimal digit,N,d,1
10,Number,letter,N,l,1
11,Number,other,N,o,1
12,Punctuation,connector,P,c,0
13,Punctuation,dash,P,d,0
14,Punctuation,open,P,s,0
15,Punctuation,close,P,e,0
16,Punctuation,initial quote,P,i,0
17,Punctuation,final quote,P,f,0
18,Punctuation,other,P,o,0
19,Symbol,math,S,m,0
20,Symbol,currency,S,c,0
21,Symbol,modifier,S,k,0
22,Symbol,other,S,o,0
23,Separator,space,Z,s,1
24,Separator,line,Z,l,0
25,Separator,paragraph,Z,p,0
26,Other,control,C,c,0
27,Other,format,C,f,0
28,Other,surrogate,C,s,0
29,Other,private use,C,o,0
30,Other,not assigned,C,n,0
