Parent Grapheme,Parent Script,Parent character type,Child Grapheme,Child Script,Child character type,Confidence
aleph,Nabataean,Normal,alif,Arabic,Normal,1
aleph,Nabataean,Normal,hamza,Arabic,Normal,1
bet,Nabataean,Normal,ba,Arabic,Normal,1
taw,Nabataean,Normal,ta,Arabic,Normal,1
ta,Arabic,Normal,tha,Arabic,Normal,1
gimel,Nabataean,Normal,gim,Arabic,Normal,1
heth,Nabataean,Normal,ḥa,Arabic,Normal,1
ḥa,Arabic,Normal,kha,Arabic,Normal,1
dalet,Nabataean,Normal,dal,Arabic,Normal,1
dal,Arabic,Normal,dhal,Arabic,Normal,1
resh,Nabataean,Normal,ra,Arabic,Normal,1
zayin,Nabataean,Normal,zay,Arabic,Normal,1
samekh,Nabataean,Normal,sin,Arabic,Normal,1
shin,Nabataean,Normal,sin,Arabic,Normal,1
shin,Nabataean,Normal,shin,Arabic,Normal,1
sin,Arabic,Normal,shin,Arabic,Normal,1
tsade,Nabataean,Normal,ṣad,Arabic,Normal,1
teth,Nabataean,Normal,ṭa,Arabic,Normal,1
ṭa,Arabic,Normal,ẓa,Arabic,Normal,1
ayin,Nabataean,Normal,ayn,Arabic,Normal,1
ayn,Arabic,Normal,ghayn,Arabic,Normal,1
pe,Nabataean,Normal,fa,Arabic,Normal,1
qoph,Nabataean,Normal,qaf,Arabic,Normal,1
kaph,Nabataean,Normal,kaf,Arabic,Normal,1
lamedh,Nabataean,Normal,lam,Arabic,Normal,1
mem,Nabataean,Normal,mim,Arabic,Normal,1
nun,Nabataean,Normal,nun,Arabic,Normal,1
he,Nabataean,Normal,ha,Arabic,Normal,1
waw,Nabataean,Normal,waw,Arabic,Normal,1
yodh,Nabataean,Normal,ya,Arabic,Normal,1
aleph,Psalter Pahlavi,Normal,a,Avestan,Normal,1
a,Avestan,Normal,ā,Avestan,Normal,1
a,Avestan,Normal,å,Avestan,Normal,1
ā,Avestan,Normal,å̄,Avestan,Normal,1
å,Avestan,Normal,å̄,Avestan,Normal,1
a,Avestan,Normal,ą,Avestan,Normal,1
a,Avestan,Normal,ą̇,Avestan,Normal,1
epsilon,Greek,Minuscule,ə,Avestan,Normal,1
bet,Psalter Pahlavi,Normal,be,Avestan,Normal,1
