unicode_,name,script,diacritic,name_meaning,english_name,origin,transliteration,ordering,variants
𓀀,,Egyptian hieroglyphs,0,,A1: seated man,,,Gardiner's sign list order: 1,
𓀁,,Egyptian hieroglyphs,0,,A2: man with hand to mouth,,,Gardiner's sign list order: 2,
𓀂,,Egyptian hieroglyphs,0,,A3: man sitting on heel,,,Gardiner's sign list order: 3,
𓀃,,Egyptian hieroglyphs,0,,A4: seated man with hands raised,,,Gardiner's sign list order: 4,
𓀄,,Egyptian hieroglyphs,0,,A5: crouching man hiding behind wall,,,Gardiner's sign list order: 5,
𓀆,,Egyptian hieroglyphs,0,,A6: seated man under vase from which water flows,,,Gardiner's sign list order: 6,
𓀉,,Egyptian hieroglyphs,0,,A7: fatigued man,,,Gardiner's sign list order: 7,
𓀊,,Egyptian hieroglyphs,0,,A8: man performing hnw rite,,,Gardiner's sign list order: 8,
𓀋,,Egyptian hieroglyphs,0,,A9: man steadying basket on head,,,Gardiner's sign list order: 9,
𓀌,,Egyptian hieroglyphs,0,,A10: seated man holding oar,,,Gardiner's sign list order: 10,
𓀍,,Egyptian hieroglyphs,0,,A11: seated man holding scepter of authority and shepherd's crook,,,Gardiner's sign list order: 11,
𓀎,,Egyptian hieroglyphs,0,,A12: soldier with bow and quiver,,,Gardiner's sign list order: 12,
𓀏,,Egyptian hieroglyphs,0,,A13: man with arms tied behind his back,,,Gardiner's sign list order: 13,
𓀐,,Egyptian hieroglyphs,0,,A14: falling man with blood streaming from his head,,,Gardiner's sign list order: 14,
𓀒,,Egyptian hieroglyphs,0,,A15: man falling,,,Gardiner's sign list order: 15,
𓀓,,Egyptian hieroglyphs,0,,A16: man bowing down,,,Gardiner's sign list order: 16,
𓀔,,Egyptian hieroglyphs,0,,A17: child sitting with hand to mouth,,,Gardiner's sign list order: 17,
𓀖,,Egyptian hieroglyphs,0,,A18: child wearing red crown,,,Gardiner's sign list order: 18,
𓀗,,Egyptian hieroglyphs,0,,A19: bent man leaning on staff,,,Gardiner's sign list order: 19,
𓀘,,Egyptian hieroglyphs,0,,A20: man leaning on forked staff,,,Gardiner's sign list order: 20,
𓀙,,Egyptian hieroglyphs,0,,A21: man holding staff with handkerchief,,,Gardiner's sign list order: 21,
𓀚,,Egyptian hieroglyphs,0,,A22: statue of man with staff and scepter of authority,,,Gardiner's sign list order: 22,
𓀛,,Egyptian hieroglyphs,0,,A23: king with staff and mace with round head,,,Gardiner's sign list order: 23,
𓀜,,Egyptian hieroglyphs,0,,A24: man striking with both hands,,,Gardiner's sign list order: 24,
𓀝,,Egyptian hieroglyphs,0,,"A25: man striking, with left arm hanging behind back",,,Gardiner's sign list order: 25,
𓀞,,Egyptian hieroglyphs,0,,A26: man with one arm pointing forward,,,Gardiner's sign list order: 26,
𓀟,,Egyptian hieroglyphs,0,,A27: hastening man,,,Gardiner's sign list order: 27,
𓀠,,Egyptian hieroglyphs,0,,A28: man with hands raised on either side,,,Gardiner's sign list order: 28,
𓀡,,Egyptian hieroglyphs,0,,A29: man upside down,,,Gardiner's sign list order: 29,
𓀢,,Egyptian hieroglyphs,0,,A30: man with hands raised in front,,,Gardiner's sign list order: 30,
𓀣,,Egyptian hieroglyphs,0,,A31: man with hands raised behind him,,,Gardiner's sign list order: 31,
𓀤,,Egyptian hieroglyphs,0,,A32: man dancing with arms to the back,,,Gardiner's sign list order: 32,
𓀦,,Egyptian hieroglyphs,0,,A33: man with stick and bundle on shoulder,,,Gardiner's sign list order: 33,
𓀧,,Egyptian hieroglyphs,0,,A34: man pounding in a mortar,,,Gardiner's sign list order: 34,
𓀨,,Egyptian hieroglyphs,0,,A35: man building wall,,,Gardiner's sign list order: 35,
𓀩,,Egyptian hieroglyphs,0,,A36: man kneading into vessel,,,Gardiner's sign list order: 36,
𓀪,,Egyptian hieroglyphs,0,,A37: man in vessel,,,Gardiner's sign list order: 37,
𓀫,,Egyptian hieroglyphs,0,,A38: man holding necks of two emblematic animals with panther heads,,,Gardiner's sign list order: 38,
𓀬,,Egyptian hieroglyphs,0,,A39: man on two giraffes,,,Gardiner's sign list order: 39,
𓀭,,Egyptian hieroglyphs,0,,A40: seated god,,,Gardiner's sign list order: 40,
𓀯,,Egyptian hieroglyphs,0,,A41: king with uraeus,𓀭:1,,Gardiner's sign list order: 41,
𓀰,,Egyptian hieroglyphs,0,,A42: king with uraeus and flagellum,𓀯:1,,Gardiner's sign list order: 42,
𓀲,,Egyptian hieroglyphs,0,,A43: king wearing white crown,𓀭:1;𓋑:1,,Gardiner's sign list order: 43,
𓀴,,Egyptian hieroglyphs,0,,A44: king wearing red crown with flagellum,𓀵:1,,Gardiner's sign list order: 44,
𓀵,,Egyptian hieroglyphs,0,,A45: king wearing red crown,𓀭:1;𓋔:1,,Gardiner's sign list order: 45,
𓀷,,Egyptian hieroglyphs,0,,A46: king wearing red crown with flagellum,𓀭:1,,Gardiner's sign list order: 46,
𓀸,,Egyptian hieroglyphs,0,,"A47: shepherd seated and wrapped in mantle, holding stick",,,Gardiner's sign list order: 47,
𓀹,,Egyptian hieroglyphs,0,,A48: beardless man seated and holding knife,,,Gardiner's sign list order: 48,
𓀺,,Egyptian hieroglyphs,0,,A49: seated Syrian holding stick,,,Gardiner's sign list order: 49,
𓀻,,Egyptian hieroglyphs,0,,A50: noble on chair,,,Gardiner's sign list order: 50,
𓀼,,Egyptian hieroglyphs,0,,A51: noble on chair with flagellum,𓀻:1,,Gardiner's sign list order: 51,
𓀽,,Egyptian hieroglyphs,0,,A52: noble squatting with flagellum,,,Gardiner's sign list order: 52,
𓀾,,Egyptian hieroglyphs,0,,A53: standing mummy,,,Gardiner's sign list order: 53,
𓀿,,Egyptian hieroglyphs,0,,A54: lying mummy,,,Gardiner's sign list order: 54,
𓁀,,Egyptian hieroglyphs,0,,A55: mummy on bed,,,Gardiner's sign list order: 55,
𓁁,,Egyptian hieroglyphs,0,,A56: seated man holding stick,,,Gardiner's sign list order: 56,
𓁂,,Egyptian hieroglyphs,0,,A57: man holding loaf on mat,,,Gardiner's sign list order: 57,
𓁃,,Egyptian hieroglyphs,0,,A58: man applying hoe to ground,,,Gardiner's sign list order: 58,
𓁄,,Egyptian hieroglyphs,0,,A59: man threatening with stick,,,Gardiner's sign list order: 59,
𓁅,,Egyptian hieroglyphs,0,,A60: man sowing seeds,,,Gardiner's sign list order: 60,
𓁆,,Egyptian hieroglyphs,0,,A61: man looking over his shoulder,,,Gardiner's sign list order: 61,
𓁇,,Egyptian hieroglyphs,0,,A62: Asiatic,,,Gardiner's sign list order: 62,
𓁈,,Egyptian hieroglyphs,0,,A63: king on throne holding staff,,,Gardiner's sign list order: 63,
𓁉,,Egyptian hieroglyphs,0,,A64: man sitting on heels holding forward cup,,,Gardiner's sign list order: 64,
𓁊,,Egyptian hieroglyphs,0,,A65: man wearing tunic with fringes and holding mace,,,Gardiner's sign list order: 65,
𓁋,,Egyptian hieroglyphs,0,,A66: man holding sistrum,,,Gardiner's sign list order: 66,
𓁌,,Egyptian hieroglyphs,0,,A67: dwarf,,,Gardiner's sign list order: 67,
𓁍,,Egyptian hieroglyphs,0,,A68: man holding up knife,,,Gardiner's sign list order: 68,
𓁎,,Egyptian hieroglyphs,0,,A69: seated man with raised right arm and left arm hanging down,,,Gardiner's sign list order: 69,
𓁏,,Egyptian hieroglyphs,0,,A70: seated man with raised arms,,,Gardiner's sign list order: 70,
𓁐,,Egyptian hieroglyphs,0,,B1: seated woman,,,Gardiner's sign list order: 71,
𓁑,,Egyptian hieroglyphs,0,,B2: pregnant woman,,,Gardiner's sign list order: 72,
