source_script,target_script,name,priority
"Phoenician script","Latin script","Phoenician to Latin",1
"Imperial Aramaic script","Latin script","Aramaic to Latin",1
"Aramaic square script","Latin script","Modern Hebrew to Latin",1
"Aramaic square script","Latin script","Biblical Hebrew to Latin",2
"Aramaic square script","Latin script","Tiberian Hebrew to Latin",3
"Nabataean script","Latin script","Nabataean to Latin",1
"Arabic script","Latin script","Arabic to Latin (ALA-LC)",1
"Arabic script","Latin script","Arabic to Latin (DIN)",2
"Greek script","Latin script","Classical Greek to Latin",1
"Greek script","Latin script","Modern Greek to Latin",2
"Greek script","Latin script","Western Archaic Greek to Latin",3
"Old Italic script","Latin script","Old Italic to Modern Latin",1
"Germanic runes","Latin script","Elder Futhark to Latin",1
"Coptic script","Latin script","Coptic to Latin",1
"Gothic script","Latin script","Gothic to Latin",1
"Pahlavi scripts","Latin script","Pahlavi to Latin",1
"Old Turkic script","Latin script","Old Turkic to Latin",1
"Samaritan script","Latin script","Samaritan to Latin",1
"Brahmi script","Latin script","Brahmi to Latin (IAST)",1
"Brahmi script","Devanagari","Brahmi to Devanagari",5
"Siddham script","Latin script","Siddham to Latin (IAST)",1
"Siddham script","Brahmi script","Siddham to Brahmi",5
"Siddham script","Devanagari","Siddham to Devanagari",10
"Devanagari","Latin script","Devanagari to Latin (IAST)",1
"Devanagari","Brahmi script","Devanagari to Brahmi",5
